method,input_source,condition,seed,planning_time_type,available,step,timestamp,mean_relative_error,max_relative_std,m_hat,k_hat,b_r_hat,m_relative_error,k_relative_error,b_r_relative_error,m_std,k_std,b_r_std
windowed_nls_current,true_state_diagnostic,noise,102,first_confidence_threshold,True,10,0.1,0.14221579354861139,0.0330306741112825,1.1992681632675106,384.6114145651598,12.946868116755933,0.0006098639437411106,0.1453079676329782,0.28072954906911485,0.0030015945341221304,9.353097644624484,0.427643781526319
windowed_nls_current,true_state_diagnostic,noise,102,first_valid_window,True,10,0.1,0.14221579354861139,0.0330306741112825,1.1992681632675106,384.6114145651598,12.946868116755933,0.0006098639437411106,0.1453079676329782,0.28072954906911485,0.0030015945341221304,9.353097644624484,0.427643781526319
windowed_nls_current,true_state_diagnostic,noise,102,fixed_2s_diagnostic,True,200,2.0,0.004634737093735865,0.00012707232851455193,1.2000113527601008,450.10384801022366,17.754048408748723,9.460633417409289e-06,0.00023077335605257252,0.013663977291737616,1.1897815336836337e-05,0.0054361054279583425,0.0022560482718597757
windowed_nls_current,true_state_diagnostic,noise,102,t0_nominal,True,0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_huber,true_state_diagnostic,noise,102.0,first_confidence_threshold,True,30.0,0.3,0.030906261325875015,0.1765115478044872,1.168750028228891,438.75013465708355,17.249806078686042,0.02604164314259083,0.02499970076203656,0.04167744007299766,0.0029243306785324535,30.34365312398226,3.044789970276125
windowed_nls_huber,true_state_diagnostic,noise,102.0,first_valid_window,True,10.0,0.1,0.12361600189407462,0.5715551116638267,1.0750000744372592,405.0013768488798,14.99967970720589,0.1041666046356173,0.09999694033582272,0.16668446071078385,0.019175278231935766,155.84168787210433,8.573143609973698
windowed_nls_huber,true_state_diagnostic,noise,102.0,fixed_2s_diagnostic,True,200.0,2.0,2.3595123644824544e-07,1.142385825065136e-06,1.199999761581794,449.9999141750435,17.99999426790458,1.9868183820381802e-07,1.9072212555531425e-07,3.1844974558560403e-07,1.4370720648625915e-08,1.0987886866027379e-05,2.0562938302907893e-05
windowed_nls_huber,true_state_diagnostic,noise,102.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_cauchy,true_state_diagnostic,noise,102.0,first_confidence_threshold,True,30.0,0.3,0.030906261306722,0.1604602675917326,1.168750028228802,438.7501346227847,17.249806081093595,0.026041643142665032,0.024999700838256256,0.0416774399392447,0.002919096666664043,27.528938753598837,2.7679084996777745
windowed_nls_cauchy,true_state_diagnostic,noise,102.0,first_valid_window,True,10.0,0.1,0.12361600182816777,0.508525983142542,1.0750000744369013,405.0013767129139,14.999679716208865,0.10416660463591558,0.09999694063796911,0.1666844602106186,0.01922857714577955,138.4917733524352,7.62772687450836
